Date,Feeder_ID,Temperature,Input_Energy_MWh,Billed_Energy_MWh,Loss_%
2024-02-17,F1,12.26,1860.07,1406.1,24.41
2024-02-18,F1,16.18,1946.67,1505.09,22.68
2024-02-19,F1,18.12,1994.22,1489.49,25.31
2024-02-20,F1,16.53,1847.46,1368.5,25.93
2024-02-21,F1,17.5,1925.42,1475.9,23.35
2024-02-22,F1,17.52,1951.33,1508.18,22.71
2024-02-23,F1,17.7,1942.82,1494.68,23.07
2024-02-24,F1,15.27,1896.16,1464.91,22.74
2024-02-25,F1,13.82,1980.82,1539.2,22.29
2024-02-26,F1,15.17,1995.48,1571.34,21.25
2024-02-27,F1,15.56,1948.49,1431.69,26.52
2024-02-28,F1,14.64,1900.48,1182.5,37.78
2024-02-29,F1,18.27,1898.2,1467.12,22.71
2024-03-01,F1,18.15,1905.53,1395.9,26.74
2024-03-02,F1,16.79,1933.49,1484.01,23.25
2024-03-03,F1,14.28,1947.3,1521.18,21.88
2024-03-04,F1,19.93,1986.52,1536.32,22.66
2024-03-05,F1,21.82,1889.04,1459.26,22.75
2024-03-06,F1,17.63,1883.12,1419.02,24.65
2024-03-07,F1,18.44,1886.32,1467.02,22.23
2024-03-08,F1,19.13,1848.56,1436.72,22.28
2024-03-09,F1,19.46,2038.24,1602.26,21.39
2024-03-10,F1,22.85,1930.33,1509.91,21.78
2024-03-11,F1,18.42,1885.24,1425.92,24.36
2024-03-12,F1,20.38,2031.66,1585.33,21.97
2024-03-13,F1,19.27,1963.8,1436.86,26.83
2024-03-14,F1,20.17,1943.2,1460.94,24.82
2024-03-15,F1,20.92,2016.45,1544.21,23.42
2024-03-16,F1,18.94,1982.85,1509.76,23.86
2024-03-17,F1,18.21,1882.6,1470.77,21.88
2024-03-18,F1,17.08,1848.81,1382.93,25.2
2024-03-19,F1,22.78,1876.94,1492.37,20.49
2024-03-20,F1,18.07,1873.85,1393.8,25.62
2024-03-21,F1,19.59,1900.71,1462.27,23.07
2024-03-22,F1,20.8,2019.52,1487.55,26.34
2024-03-23,F1,19.11,1898.61,1422.96,25.05
2024-03-24,F1,20.34,1964.22,1556.78,20.74
2024-03-25,F1,18.66,1858.9,1444.11,22.31
2024-03-26,F1,26.45,1896.52,1472.29,22.37
2024-03-27,F1,20.74,1919.77,1486.58,22.57
2024-03-28,F1,24.03,1982.18,1442.0,27.25
2024-03-29,F1,23.62,1946.23,1495.76,23.15
2024-03-30,F1,20.16,1854.03,1442.46,22.2
2024-03-31,F1,16.84,1929.95,1445.79,25.09
2024-04-01,F1,20.47,1940.49,1502.12,22.59
2024-04-02,F1,22.65,1878.28,1534.81,18.29
2024-04-03,F1,19.28,1886.41,1497.41,20.62
2024-04-04,F1,18.82,1851.4,1367.34,26.15
2024-04-05,F1,20.89,1953.73,1476.4,24.43
2024-04-06,F1,18.85,1855.0,1460.41,21.27
2024-04-07,F1,19.81,1993.94,1547.44,22.39
2024-04-08,F1,16.07,1955.95,1513.34,22.63
2024-04-09,F1,20.4,1890.91,1493.23,21.03
2024-04-10,F1,17.99,2002.29,1527.76,23.7
2024-04-11,F1,20.16,1918.84,1501.22,21.76
2024-04-12,F1,17.72,1901.44,1510.75,20.55
2024-04-13,F1,22.82,1886.09,1503.41,20.29
2024-04-14,F1,18.59,1923.53,1506.61,21.67
2024-04-15,F1,16.32,1893.69,1474.08,22.16
2024-04-16,F1,19.21,1958.44,1478.12,24.53
2024-04-17,F1,19.68,1933.1,1449.06,25.04
2024-04-18,F1,22.1,1903.63,1453.48,23.65
2024-04-19,F1,19.2,1895.21,1405.53,25.84
2024-04-20,F1,17.75,1931.49,1474.69,23.65
2024-04-21,F1,22.88,1934.32,1458.85,24.58
2024-04-22,F1,17.67,1993.8,1565.41,21.49
2024-04-23,F1,17.57,1882.39,1475.36,21.62
2024-04-24,F1,11.81,1912.59,1493.16,21.93
2024-04-25,F1,20.44,1946.69,1447.37,25.65
2024-04-26,F1,21.34,1906.5,1424.83,25.26
2024-04-27,F1,19.49,1936.16,1489.59,23.06
2024-04-28,F1,19.97,2028.62,1552.55,23.47
2024-04-29,F1,17.29,1969.3,1521.12,22.76
2024-04-30,F1,21.89,1937.38,1500.0,22.58
2024-05-01,F1,20.79,1932.4,1507.22,22.0
2024-05-02,F1,18.57,1857.42,1412.84,23.94
2024-05-03,F1,13.55,1837.79,1360.61,25.97
2024-05-04,F1,18.66,1880.39,1411.05,24.96
2024-05-05,F1,16.92,1929.8,1472.99,23.67
2024-05-06,F1,16.24,1978.27,1533.28,22.49
2024-05-07,F1,16.94,1818.71,1382.38,23.99
2024-05-08,F1,16.19,1885.07,1475.72,21.71
2024-05-09,F1,16.24,1932.13,1412.14,26.91
2024-05-10,F1,16.98,1927.78,1454.23,24.56
2024-05-11,F1,16.6,1935.6,1429.26,26.16
2024-05-12,F1,17.09,1886.77,1435.66,23.91
2024-05-13,F1,17.42,1908.09,1435.47,24.77
2024-05-14,F1,16.53,1901.56,1454.97,23.49
2024-05-15,F1,13.18,1929.76,1520.36,21.22
2024-05-16,F1,14.88,1820.47,1353.49,25.65
2024-05-17,F1,12.78,2004.14,1521.61,24.08
2024-05-18,F1,18.17,2025.31,1621.88,19.92
2024-05-19,F1,12.75,1855.24,1407.08,24.16
2024-05-20,F1,15.82,1916.29,1484.11,22.55
2024-05-21,F1,10.07,1934.7,1455.26,24.78
2024-05-22,F1,18.02,1922.27,1459.04,24.1
2024-05-23,F1,15.89,1988.1,1534.93,22.79
2024-05-24,F1,15.31,1885.26,1382.66,26.66
2024-05-25,F1,14.35,1926.65,1517.93,21.21
2024-05-26,F1,15.37,1841.76,1446.34,21.47
2024-05-27,F1,9.12,1855.99,1421.23,23.42
2024-05-28,F1,17.96,1895.78,1468.49,22.54
2024-05-29,F1,13.28,1898.01,1404.99,25.98
2024-05-30,F1,14.08,1916.54,1454.19,24.12
2024-05-31,F1,13.51,1951.81,1485.0,23.92
2024-06-01,F1,13.6,1861.44,1444.16,22.42
2024-06-02,F1,13.28,1900.96,1391.89,26.78
2024-06-03,F1,12.34,1966.29,1606.21,18.31
2024-06-04,F1,14.63,1865.47,1497.26,19.74
2024-06-05,F1,6.8,1997.62,1490.33,25.39
2024-06-06,F1,9.38,2011.29,1550.69,22.9
2024-06-07,F1,12.84,1962.04,1525.27,22.26
2024-06-08,F1,9.81,2008.1,1548.49,22.89
2024-06-09,F1,5.94,1959.79,1421.24,27.48
2024-06-10,F1,8.32,1875.07,1332.84,28.92
2024-06-11,F1,12.6,2025.97,1531.6,24.4
2024-06-12,F1,12.83,1920.4,1466.84,23.62
2024-06-13,F1,6.09,1895.75,1431.49,24.49
2024-06-14,F1,9.63,1912.56,1490.16,22.09
2024-06-15,F1,7.2,1936.23,1514.9,21.76
2024-06-16,F1,11.31,1909.54,1488.96,22.02
2024-06-17,F1,9.29,1906.54,1515.78,20.5
2024-06-18,F1,6.0,1846.83,1370.41,25.8
2024-06-19,F1,9.18,1894.48,1494.08,21.13
2024-06-20,F1,8.19,1848.21,1526.69,17.4
2024-06-21,F1,6.56,1930.13,1494.24,22.58
2024-06-22,F1,7.81,1977.94,1551.32,21.57
2024-06-23,F1,5.59,1893.24,1441.59,23.86
2024-06-24,F1,6.7,1981.37,1519.36,23.32
2024-06-25,F1,5.26,1880.47,1481.37,21.22
2024-06-26,F1,2.94,1897.64,1419.0,25.22
2024-06-27,F1,3.04,1999.27,1528.01,23.57
2024-06-28,F1,7.98,1937.74,1422.27,26.6
2024-06-29,F1,4.26,1747.59,1358.71,22.25
2024-06-30,F1,5.61,1931.49,1495.02,22.6
2024-07-01,F1,5.0,1973.58,1472.09,25.41
2024-07-02,F1,0.26,1927.28,1539.05,20.14
2024-07-03,F1,5.98,1831.97,1406.0,23.25
2024-07-04,F1,6.05,1988.49,1515.11,23.81
2024-07-05,F1,0.45,1880.97,1440.31,23.43
2024-07-06,F1,2.15,1942.52,1462.61,24.71
2024-07-07,F1,3.78,1963.4,1473.03,24.98
2024-07-08,F1,2.05,1985.26,1555.94,21.63
2024-07-09,F1,2.08,1949.62,1495.39,23.3
2024-07-10,F1,0.61,1859.29,1436.81,22.72
2024-07-11,F1,5.71,1930.38,1517.73,21.38
2024-07-12,F1,5.29,1875.96,1375.58,26.67
2024-07-13,F1,2.39,1957.14,1470.48,24.87
2024-07-14,F1,2.62,1925.59,1431.03,25.68
2024-07-15,F1,1.16,1797.09,1404.56,21.84
2024-07-16,F1,1.67,1881.06,1483.29,21.15
2024-07-17,F1,2.22,1859.36,1329.69,28.49
2024-07-18,F1,0.12,1996.19,1557.54,21.97
2024-07-19,F1,1.05,1920.08,1487.77,22.52
2024-07-20,F1,2.47,1963.4,1453.56,25.97
2024-07-21,F1,0.86,1920.08,1481.04,22.87
2024-07-22,F1,-2.66,1970.96,1512.6,23.26
2024-07-23,F1,0.08,1873.56,1522.7,18.73
2024-07-24,F1,-1.61,2072.97,1626.1,21.56
2024-07-25,F1,-2.73,2031.58,1577.53,22.35
2024-07-26,F1,-2.69,2044.59,1495.47,26.86
2024-07-27,F1,0.96,1960.45,1477.38,24.64
2024-07-28,F1,0.9,1939.35,1465.48,24.43
2024-07-29,F1,-1.78,1977.98,1519.63,23.17
2024-07-30,F1,-3.36,1997.97,1434.99,28.18
2024-07-31,F1,-1.8,1968.78,1524.23,22.58
2024-08-01,F1,-3.05,2080.8,1569.99,24.55
2024-08-02,F1,-0.25,1800.28,1338.31,25.66
2024-08-03,F1,-0.58,1906.56,1364.16,28.45
2024-08-04,F1,-8.45,2329.01,1726.87,25.85
2024-08-05,F1,-7.42,2324.74,1768.3,23.94
2024-08-06,F1,-9.11,2326.93,1802.69,22.53
2024-08-07,F1,-2.03,1985.42,1576.57,20.59
2024-08-08,F1,-4.28,2069.35,1660.56,19.75
2024-08-09,F1,-3.3,2044.51,1602.16,21.64
2024-08-10,F1,-8.35,2245.15,1709.13,23.87
2024-08-11,F1,-3.34,2082.57,1614.7,22.47
2024-08-12,F1,-5.51,2102.29,1646.76,21.67
2024-08-13,F1,-3.61,2111.89,1618.12,23.38
2024-08-14,F1,-5.59,2152.45,1609.14,25.24
2024-08-15,F1,-6.25,2169.47,1692.98,21.96
2024-08-16,F1,-4.73,2175.09,1671.37,23.16
2024-08-17,F1,-8.94,2198.77,1686.01,23.32
2024-08-18,F1,-5.78,2157.01,1665.4,22.79
2024-08-19,F1,-4.4,1989.68,1567.7,21.21
2024-08-20,F1,-7.67,2231.16,1696.15,23.98
2024-08-21,F1,-7.02,2158.71,1333.74,38.22
2024-08-22,F1,-6.69,2162.19,1626.39,24.78
2024-08-23,F1,-6.87,2228.07,1626.51,27.0
2024-08-24,F1,-6.78,2283.87,1776.65,22.21
2024-08-25,F1,-6.15,2148.96,1696.28,21.06
2024-08-26,F1,-9.25,2325.79,1320.0,43.25
2024-08-27,F1,-7.73,2246.62,1387.91,38.22
2024-08-28,F1,-9.3,2341.12,1772.92,24.27
2024-08-29,F1,-11.6,2378.94,1823.58,23.34
2024-08-30,F1,-8.04,2231.1,1734.39,22.26
2024-08-31,F1,-5.86,2198.95,1664.19,24.32
2024-09-01,F1,-7.22,2184.58,1693.11,22.5
2024-09-02,F1,-4.63,2212.11,1736.82,21.49
2024-09-03,F1,-9.7,2305.4,1796.67,22.07
2024-09-04,F1,-6.3,2172.22,1726.58,20.52
2024-09-05,F1,-6.06,2173.85,1638.36,24.63
2024-09-06,F1,-9.75,2291.91,1781.82,22.26
2024-09-07,F1,-8.0,2258.27,1755.17,22.28
2024-09-08,F1,-5.86,2218.67,1750.38,21.11
2024-09-09,F1,-8.35,2245.43,1707.19,23.97
2024-09-10,F1,-5.7,2093.2,1606.03,23.27
2024-09-11,F1,-5.97,2040.83,1551.17,23.99
2024-09-12,F1,-9.82,2310.67,1472.68,36.27
2024-09-13,F1,-12.23,2445.63,1956.7,19.99
2024-09-14,F1,-8.82,2212.45,1653.26,25.27
2024-09-15,F1,-8.93,2281.0,1762.59,22.73
2024-09-16,F1,-11.94,2419.93,1867.68,22.82
2024-09-17,F1,-7.21,2251.5,1692.11,24.85
2024-09-18,F1,-8.0,2254.23,1443.48,35.97
2024-09-19,F1,-10.96,2307.19,1774.45,23.09
2024-09-20,F1,-11.35,2310.74,1831.24,20.75
2024-09-21,F1,-8.57,2219.7,1694.31,23.67
2024-09-22,F1,-9.6,2320.57,1746.79,24.73
2024-09-23,F1,-12.97,2487.71,1853.45,25.5
2024-09-24,F1,-8.81,2384.1,1846.37,22.55
2024-09-25,F1,-7.25,2239.08,1750.83,21.81
2024-09-26,F1,-10.02,2410.96,1879.47,22.04
2024-09-27,F1,-10.58,2457.37,1969.58,19.85
2024-09-28,F1,-7.88,2269.94,1731.6,23.72
2024-09-29,F1,-8.99,2185.6,1720.53,21.28
2024-09-30,F1,-10.03,2306.46,1841.91,20.14
2024-10-01,F1,-10.67,2370.38,1830.36,22.78
2024-10-02,F1,-8.98,2354.55,1778.15,24.48
2024-10-03,F1,-3.77,2094.04,1212.29,42.11
2024-10-04,F1,-9.14,2366.9,1745.68,26.25
2024-10-05,F1,-11.72,2326.46,1823.47,21.62
2024-10-06,F1,-14.48,2542.78,1995.3,21.53
2024-10-07,F1,-6.56,2252.32,1724.68,23.43
2024-10-08,F1,-14.5,2500.57,1963.11,21.49
2024-10-09,F1,-6.59,2107.32,1547.01,26.59
2024-10-10,F1,-8.0,2179.65,1632.31,25.11
2024-10-11,F1,-6.29,2254.32,1800.01,20.15
2024-10-12,F1,-10.77,2349.4,1763.07,24.96
2024-10-13,F1,-5.71,2124.88,1643.84,22.64
2024-10-14,F1,-11.84,2334.83,1869.26,19.94
2024-10-15,F1,-8.48,2157.44,1631.46,24.38
2024-10-16,F1,-7.48,2233.75,1672.09,25.14
2024-10-17,F1,-9.99,2302.92,1767.17,23.26
2024-10-18,F1,-10.22,2344.4,1847.94,21.18
2024-10-19,F1,-10.15,2209.08,1769.99,19.88
2024-10-20,F1,-8.09,2271.03,1844.31,18.79
2024-10-21,F1,-8.88,2287.22,1780.0,22.18
2024-10-22,F1,-9.77,2293.79,1794.25,21.78
2024-10-23,F1,-7.2,2153.22,1393.05,35.3
2024-10-24,F1,-8.32,2267.94,1739.53,23.3
2024-10-25,F1,-8.21,2241.36,1718.53,23.33
2024-10-26,F1,-6.99,2230.94,1674.4,24.95
2024-10-27,F1,-10.36,2318.39,1860.78,19.74
2024-10-28,F1,-6.4,2168.86,1692.79,21.95
2024-10-29,F1,-5.69,2188.39,1690.7,22.74
2024-10-30,F1,-6.48,2166.84,1636.59,24.47
2024-10-31,F1,-10.82,2313.83,1844.48,20.28
2024-11-01,F1,-5.42,2201.31,1606.47,27.02
2024-11-02,F1,-3.18,2109.0,1380.68,34.53
2024-11-03,F1,-3.93,2105.79,1666.37,20.87
2024-11-04,F1,-1.04,1969.18,1581.17,19.7
2024-11-05,F1,-6.83,2250.37,1831.93,18.59
2024-11-06,F1,-6.66,2283.5,1771.44,22.42
2024-11-07,F1,-4.34,2040.29,1509.26,26.03
2024-11-08,F1,-9.5,2301.22,1754.76,23.75
2024-11-09,F1,-8.76,2302.57,1764.25,23.38
2024-11-10,F1,-8.03,2255.47,1769.83,21.53
2024-11-11,F1,-3.09,2054.06,1528.34,25.59
2024-11-12,F1,-5.37,2160.65,1689.56,21.8
2024-11-13,F1,-7.65,2190.7,1694.18,22.66
2024-11-14,F1,-4.72,2000.99,1531.55,23.46
2024-11-15,F1,-0.99,1994.6,1490.23,25.29
2024-11-16,F1,-3.83,2066.36,1578.72,23.6
2024-11-17,F1,-2.1,2063.39,1627.2,21.14
2024-11-18,F1,-2.87,2069.16,1617.47,21.83
2024-11-19,F1,-3.87,2058.25,1609.69,21.79
2024-11-20,F1,0.4,1831.39,1430.86,21.87
2024-11-21,F1,-6.21,2202.19,1748.86,20.59
2024-11-22,F1,-5.22,2143.03,1669.51,22.1
2024-11-23,F1,-5.3,2107.22,1543.36,26.76
2024-11-24,F1,-1.63,1965.08,1578.6,19.67
2024-11-25,F1,-1.41,1944.93,1464.5,24.7
2024-11-26,F1,-6.55,2267.03,1811.56,20.09
2024-11-27,F1,-5.51,2208.51,1710.81,22.54
2024-11-28,F1,-2.46,1994.26,1511.09,24.23
2024-11-29,F1,-5.74,2143.41,1717.1,19.89
2024-11-30,F1,-2.69,2007.31,1624.66,19.06
2024-12-01,F1,-3.44,2129.12,1610.59,24.35
2024-12-02,F1,-5.07,2037.52,1664.77,18.29
2024-12-03,F1,-2.72,2078.15,1569.13,24.49
2024-12-04,F1,-2.79,2051.23,1546.79,24.59
2024-12-05,F1,-2.63,2038.99,1470.18,27.9
2024-12-06,F1,-2.39,1962.73,1572.29,19.89
2024-12-07,F1,-3.17,2118.15,1630.05,23.04
2024-12-08,F1,0.35,1899.47,1399.06,26.34
2024-12-09,F1,3.48,1800.25,1385.8,23.02
2024-12-10,F1,2.89,1980.18,1455.16,26.51
2024-12-11,F1,0.7,1954.91,1526.38,21.92
2024-12-12,F1,1.85,1932.01,1516.22,21.52
2024-12-13,F1,5.93,1874.83,1432.95,23.57
2024-12-14,F1,-0.11,1977.06,1554.64,21.37
2024-12-15,F1,1.87,1846.94,1421.45,23.04
2024-12-16,F1,0.6,1941.08,1469.78,24.28
2024-12-17,F1,1.96,1962.29,1329.95,32.22
2024-12-18,F1,-1.39,2044.4,1528.12,25.25
2024-12-19,F1,-1.85,1996.23,1596.89,20.0
2024-12-20,F1,-0.56,1992.55,1584.0,20.5
2024-12-21,F1,2.16,1890.54,1424.06,24.67
2024-12-22,F1,4.82,2002.07,1593.31,20.42
2024-12-23,F1,4.45,1896.36,1480.09,21.95
2024-12-24,F1,4.39,1962.51,1528.78,22.1
2024-12-25,F1,6.36,1945.02,1582.9,18.62
2024-12-26,F1,3.16,1867.88,1447.61,22.5
2024-12-27,F1,2.13,2013.46,1519.09,24.55
2024-12-28,F1,1.42,1977.65,1507.01,23.8
2024-12-29,F1,6.89,1856.6,1458.53,21.44
2024-12-30,F1,1.51,1925.75,1498.5,22.19
2024-12-31,F1,6.37,1948.14,1453.76,25.38
2025-01-01,F1,6.25,1920.17,1461.33,23.9
2025-01-02,F1,5.85,1916.11,1490.62,22.21
2025-01-03,F1,7.39,1890.48,1457.01,22.93
2025-01-04,F1,8.66,1850.53,1435.75,22.41
2025-01-05,F1,8.31,1919.47,1501.86,21.76
2025-01-06,F1,6.39,1965.65,1465.97,25.42
2025-01-07,F1,1.94,1935.29,1481.72,23.44
2025-01-08,F1,7.02,1872.17,1508.81,19.41
2025-01-09,F1,5.72,1918.76,1441.71,24.86
2025-01-10,F1,7.64,1882.93,1483.66,21.2
2025-01-11,F1,7.77,1954.72,1517.87,22.35
2025-01-12,F1,9.45,1875.47,1447.28,22.83
2025-01-13,F1,8.41,1967.47,1557.88,20.82
2025-01-14,F1,9.31,1937.5,1527.74,21.15
2025-01-15,F1,10.55,1819.52,1442.22,20.74
2025-01-16,F1,8.34,1936.53,1471.95,23.99
2025-01-17,F1,6.9,1982.77,1541.3,22.27
2025-01-18,F1,10.67,1863.93,1413.3,24.18
2025-01-19,F1,10.56,2005.96,1500.15,25.22
2025-01-20,F1,8.46,2012.49,1538.23,23.57
2025-01-21,F1,9.1,1939.67,1494.73,22.94
2025-01-22,F1,11.62,1877.31,1512.73,19.42
2025-01-23,F1,12.1,1997.76,1532.47,23.29
2025-01-24,F1,9.31,1866.34,1446.42,22.5
2025-01-25,F1,12.45,1964.48,1527.29,22.25
2025-01-26,F1,12.71,1942.94,1465.0,24.6
2025-01-27,F1,13.24,1955.19,1445.78,26.05
2025-01-28,F1,13.84,2007.95,1441.39,28.22
2025-01-29,F1,12.81,1941.97,1465.93,24.51
2025-01-30,F1,14.65,1920.7,1432.66,25.41
2025-01-31,F1,12.05,1878.92,1401.92,25.39
2025-02-01,F1,14.09,1945.7,1303.63,33.0
2025-02-02,F1,12.24,1866.96,1401.59,24.93
2025-02-03,F1,12.77,1899.12,1451.45,23.57
2025-02-04,F1,13.01,1931.54,1390.9,27.99
2025-02-05,F1,13.03,1876.38,1430.98,23.74
2025-02-06,F1,15.03,1901.31,1552.28,18.36
2025-02-07,F1,14.87,1882.12,1420.43,24.53
2025-02-08,F1,15.88,1970.11,1552.3,21.21
2025-02-09,F1,13.45,1859.61,1433.13,22.93
2025-02-10,F1,15.34,1857.17,1403.99,24.4
2025-02-11,F1,18.28,1947.44,1492.52,23.36
2025-02-12,F1,13.95,1860.95,1485.69,20.17
2025-02-13,F1,9.69,1933.82,1476.87,23.63
2025-02-14,F1,15.69,1933.3,1507.26,22.04
2025-02-15,F1,14.98,1923.31,1203.63,37.42
2025-02-16,F1,13.95,1878.32,1487.12,20.83
2025-02-17,F1,12.16,1890.11,1474.35,22.0
2025-02-18,F1,16.46,1901.55,1538.93,19.07
2025-02-19,F1,17.94,1917.56,1472.93,23.19
2025-02-20,F1,17.24,2010.49,1502.14,25.29
2025-02-21,F1,15.95,1920.78,1389.17,27.68
2025-02-22,F1,17.76,1890.84,1477.67,21.85
2025-02-23,F1,14.89,1895.63,1398.52,26.22
2025-02-24,F1,18.11,2021.74,1516.51,24.99
2025-02-25,F1,12.75,2034.69,1529.15,24.85
2025-02-26,F1,16.99,1983.51,1511.95,23.77
2025-02-27,F1,15.84,2007.63,1557.05,22.44
2025-02-28,F1,17.14,1937.18,1489.49,23.11
2025-03-01,F1,17.84,1819.34,1402.85,22.89
2025-03-02,F1,21.18,1939.73,1480.39,23.68
2025-03-03,F1,16.46,2005.13,1529.41,23.73
2025-03-04,F1,16.49,1931.74,1537.68,20.4
2025-03-05,F1,16.54,1900.08,1417.83,25.38
2025-03-06,F1,16.87,1915.74,1527.79,20.25
2025-03-07,F1,18.08,1913.12,1501.68,21.51
2025-03-08,F1,16.83,1869.8,1483.09,20.68
2025-03-09,F1,19.89,1788.02,1339.37,25.09
2025-03-10,F1,19.67,1870.07,1411.09,24.54
2025-03-11,F1,18.46,2053.18,1574.15,23.33
2025-03-12,F1,21.81,1886.27,1473.86,21.86
2025-03-13,F1,21.07,1943.01,1517.87,21.88
2025-03-14,F1,19.25,1941.16,1481.09,23.7
2025-03-15,F1,18.11,1882.9,1436.8,23.69
2025-03-16,F1,18.41,1953.93,1493.74,23.55
2025-03-17,F1,19.34,1950.19,1511.5,22.49
2025-03-18,F1,20.1,1962.61,1555.44,20.75
2025-03-19,F1,17.93,1929.49,1446.16,25.05
2025-03-20,F1,18.47,2008.05,1536.89,23.46
2025-03-21,F1,20.56,1868.89,1364.38,27.0
2025-03-22,F1,21.36,1956.93,1526.18,22.01
2025-03-23,F1,21.14,1901.55,1453.54,23.56
2025-03-24,F1,20.79,1875.67,1453.33,22.52
2025-03-25,F1,18.69,1896.24,1506.75,20.54
2025-03-26,F1,18.91,1998.2,1525.61,23.65
2025-03-27,F1,20.38,1940.11,1465.59,24.46
2025-03-28,F1,16.84,1854.6,1449.91,21.82
2025-03-29,F1,17.33,1991.38,1549.08,22.21
2025-03-30,F1,19.89,1910.85,1457.18,23.74
2025-03-31,F1,18.6,1953.04,1469.96,24.73
2025-04-01,F1,20.08,1933.72,1410.67,27.05
2025-04-02,F1,21.88,1887.18,1374.85,27.15
2025-04-03,F1,16.59,1952.42,1474.93,24.46
2025-04-04,F1,18.21,1908.14,1439.62,24.55
2025-04-05,F1,22.45,1931.74,1509.67,21.85
2025-04-06,F1,16.57,1943.67,1443.14,25.75
2025-04-07,F1,18.31,1890.23,1391.03,26.41
2025-04-08,F1,19.73,1869.98,1444.64,22.75
2025-04-09,F1,19.17,1908.25,1472.97,22.81
2025-04-10,F1,21.1,1996.08,1493.4,25.18
2025-04-11,F1,21.24,1892.29,1465.57,22.55
2025-04-12,F1,16.24,1894.82,1518.36,19.87
2025-04-13,F1,21.31,1936.3,1498.79,22.6
2025-04-14,F1,16.45,2040.82,1592.82,21.95
2025-04-15,F1,17.01,1794.43,1347.78,24.89
2025-04-16,F1,24.25,1901.75,1435.51,24.52
2025-04-17,F1,16.55,1910.16,1490.91,21.95
2025-04-18,F1,19.15,1896.96,1428.93,24.67
2025-04-19,F1,21.38,1930.32,1503.84,22.09
2025-04-20,F1,19.36,1922.8,1503.92,21.78
2025-04-21,F1,18.4,1869.82,1418.75,24.12
2025-04-22,F1,19.75,1968.07,1561.97,20.63
2025-04-23,F1,20.34,1946.98,1514.53,22.21
2025-04-24,F1,20.02,1955.4,1463.88,25.14
2025-04-25,F1,21.03,2035.95,1576.75,22.56
2025-04-26,F1,20.37,1899.69,1406.2,25.98
2025-04-27,F1,20.17,1941.27,1493.29,23.08
2025-04-28,F1,23.53,1948.58,1542.97,20.82
2025-04-29,F1,20.89,1931.84,1475.94,23.6
2025-04-30,F1,22.0,1916.69,1505.98,21.43
2025-05-01,F1,16.94,1956.92,1455.23,25.64
2025-05-02,F1,17.67,1978.4,1537.32,22.29
2025-05-03,F1,17.98,1885.75,1442.78,23.49
2025-05-04,F1,19.78,1879.55,1528.95,18.65
2025-05-05,F1,16.82,1937.61,1503.18,22.42
